2017-02-14 10:31:53 install libpam-runtime:all <none> 1.1.8-3.1+deb8u2
2017-02-14 10:31:53 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u2
2017-02-14 10:31:53 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2017-02-14 10:31:53 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2017-02-14 10:31:53 install libpam0g:amd64 <none> 1.1.8-3.1+deb8u2
2017-02-14 10:31:53 status half-installed libpam0g:amd64 1.1.8-3.1+deb8u2
2017-02-14 10:31:53 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u2
2017-02-14 10:31:53 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u2
2017-02-14 10:31:53 install libpcre3:amd64 <none> 2:8.35-3.3+deb8u4
2017-02-14 10:31:53 status half-installed libpcre3:amd64 2:8.35-3.3+deb8u4
2017-02-14 10:31:53 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2017-02-14 10:31:53 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2017-02-14 10:31:53 upgrade perl-base:amd64 5.20.2-3+deb8u6 5.20.2-3+deb8u6
2017-02-14 10:31:53 status half-configured perl-base:amd64 5.20.2-3+deb8u6
2017-02-14 10:31:53 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-02-14 10:31:53 status half-installed perl-base:amd64 5.20.2-3+deb8u6
2017-02-14 10:31:54 status half-installed perl-base:amd64 5.20.2-3+deb8u6
2017-02-14 10:31:54 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-02-14 10:31:54 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-02-14 10:31:54 install libprocps3:amd64 <none> 2:3.3.9-9
2017-02-14 10:31:54 status half-installed libprocps3:amd64 2:3.3.9-9
2017-02-14 10:31:54 status unpacked libprocps3:amd64 2:3.3.9-9
2017-02-14 10:31:54 status unpacked libprocps3:amd64 2:3.3.9-9
2017-02-14 10:31:54 install procps:amd64 <none> 2:3.3.9-9
2017-02-14 10:31:54 status half-installed procps:amd64 2:3.3.9-9
2017-02-14 10:31:54 status unpacked procps:amd64 2:3.3.9-9
2017-02-14 10:31:54 status unpacked procps:amd64 2:3.3.9-9
2017-02-14 10:31:54 install sed:amd64 <none> 4.2.2-4+deb8u1
2017-02-14 10:31:54 status half-installed sed:amd64 4.2.2-4+deb8u1
2017-02-14 10:31:54 status unpacked sed:amd64 4.2.2-4+deb8u1
